ticker,sector_group,potential_score,valuation_score,quality_score,growth_score,sentiment_score,fwd_return,fwd_return_net,decile,regime_label
A,healthcare,53.12,50.58,66.15,38.0,66.94,-0.02008943036744215,-0.025817980777476723,8,R2
AA,industrials,58.75,56.83,43.2,31.58,93.55,-0.1040787623066104,-0.11231737729060698,9,R2
AAON,industrials,35.52,11.8,65.03,,46.32,-0.04188380621501642,-0.05979915856025729,4,R2
AAP,consumer_disc,49.86,34.44,53.08,,61.45,-0.3435355221665739,-0.35034077746680226,7,R2
AAPL,tech_hardware,64.65,27.27,87.26,92.16,67.21,-0.25948966073382873,-0.2637659501263758,10,R2
AAT,reits,36.56,24.47,50.38,62.07,50.77,-0.25983436853002073,-0.2875671001959726,4,R2
AAWW,industrials,72.4,100.0,75.27,53.33,74.42,0.07894177645558842,0.06238346964750274,10,R2
ABBV,healthcare,52.73,61.32,69.32,42.86,69.23,0.22535947712418314,0.22027733668051705,8,R2
ABCL,healthcare,49.97,62.94,74.01,,52.94,-0.3440559440559441,-0.3740559440559441,7,R2
ABG,consumer_disc,43.01,51.2,43.73,,45.61,0.0963353210212472,0.0787142696466059,6,R2
ABM,industrials,62.25,78.24,54.71,,67.39,0.15696887686062233,0.13648885117988305,10,R2
ABMD,healthcare,41.09,20.02,88.44,55.0,31.4,0.060834702230141646,0.051811630059697085,5,R2
ABNB,consumer_disc,26.66,0.0,19.3,,50.98,-0.4681962880653493,-0.4744204910231112,2,R2
ABR,reits,48.9,97.87,50.38,2.3,60.0,-0.16093023255813954,-0.18067517958375362,7,R2
ABSI,healthcare,58.63,17.78,47.26,,91.67,-0.6878048780487804,-0.7178048780487805,9,R2
ABT,healthcare,61.43,71.17,65.13,63.0,61.98,-0.17757805841791263,-0.1827320800975644,9,R2
ABUS,healthcare,50.14,22.84,40.49,78.45,48.95,-0.2930591259640103,-0.3230591259640103,7,R2
ACA,industrials,39.86,55.95,64.67,51.11,18.87,0.057060518731988585,0.032015060690606646,5,R2
ACAD,healthcare,39.94,23.23,87.64,,36.62,-0.25878320479862893,-0.2844501119513051,5,R2
ACC,reits,33.67,2.13,50.38,54.02,53.08,0.15236920908930762,0.13686763279242073,4,R2
ACCD,tech_software,40.14,0.0,14.6,96.1,8.59,-0.6377086494688922,-0.6655440577276724,5,R2
ACCO,industrials,38.54,91.71,31.22,,17.89,-0.245585874799358,-0.27558587479935803,5,R2
ACEL,consumer_disc,39.82,27.31,55.86,42.5,68.63,-0.3233486943164362,-0.35334869431643623,5,R2
ACET,healthcare,12.07,20.82,44.37,,12.51,-0.5608919382504287,-0.5908919382504287,1,R2
ACHC,healthcare,40.79,23.68,56.5,36.84,68.97,0.3632619439868203,0.34232862635361494,5,R2
ACHR,industrials,0.0,0.0,21.21,,3.12,-0.6109271523178808,-0.6406069630799146,1,R2
ACIA,tech_hardware,62.72,37.39,73.07,,90.0,-0.3,-0.3164010807691972,10,R2
ACIW,tech_software,20.93,66.43,45.9,0.65,36.48,-0.2299711815561961,-0.24874922289067883,2,R2
ACLS,tech_hardware,70.88,59.88,54.21,84.78,94.38,0.24839055793991416,0.22555838785231822,10,R2
ACM,industrials,45.9,40.28,31.36,,71.7,0.09257251287611812,0.08389710775885795,6,R2
ACRE,reits,61.66,94.68,50.38,71.26,57.69,-0.15174129353233823,-0.18174129353233823,9,R2
ACRS,healthcare,34.57,0.0,4.24,46.0,96.69,0.18638239339752416,0.15638239339752416,4,R2
ACVA,consumer_disc,22.9,7.76,15.25,,52.6,-0.5483014861995754,-0.5721516432075,2,R2
ADAP,healthcare,27.95,26.24,40.3,35.34,44.28,-0.5146666666666666,-0.5446666666666666,3,R2
ADBE,tech_software,60.84,53.48,96.84,55.19,63.85,-0.4027087080732197,-0.40763335373899784,9,R2
ADCT,healthcare,22.39,10.15,25.91,,41.19,-0.7851485148514852,-0.8151485148514852,2,R2
ADI,tech_hardware,55.96,47.57,68.89,78.26,34.79,-0.019106714996621088,-0.024503834081680134,9,R2
ADM,consumer_staples,47.46,36.03,25.97,,88.0,0.2995787700084245,0.2930948236475172,7,R2
ADMS,healthcare,49.24,0.0,58.75,71.43,94.87,-0.3,-0.32999999999999996,7,R2
ADNT,consumer_disc,63.51,93.63,44.41,,66.67,-0.13617376775271517,-0.15755403264301884,10,R2
ADP,industrials,61.09,29.43,90.73,52.94,80.43,-0.004932956634826735,-0.010436333497554923,9,R2
ADPT,healthcare,45.08,20.62,40.45,68.1,42.18,-0.6817533856022808,-0.7073746646283392,6,R2
ADSK,tech_software,53.13,51.17,96.47,44.81,42.69,-0.3121021373448558,-0.31813277955926733,8,R2
ADT,tech_hardware,28.25,58.93,44.94,15.69,32.79,0.15999999999999992,0.13099863797252323,3,R2
ADTN,tech_hardware,24.63,5.0,30.34,,70.0,-0.12217194570135759,-0.15217194570135759,2,R2
ADUS,healthcare,31.45,18.86,60.14,47.37,41.38,0.08565928777670817,0.05816823909126187,3,R2
ADV,industrials,29.32,43.41,34.37,73.53,2.17,-0.7281795511221945,-0.7581795511221945,3,R2
AEE,utilities,53.69,57.02,60.71,50.0,48.84,0.0277456647398846,0.021149977489070323,8,R2
AEHR,tech_hardware,54.62,0.0,17.51,100.0,99.17,0.19685690653432597,0.16685690653432597,8,R2
AEIS,tech_hardware,36.08,44.95,68.32,,18.03,0.022648666741046597,-0.0009000624191353689,4,R2
AEO,consumer_disc,29.98,7.64,38.03,,46.99,-0.3833110218652387,-0.3992419055826151,3,R2
AEP,utilities,47.33,56.98,47.62,,32.56,0.1307509254362771,0.12509025063051293,7,R2
AERI,healthcare,24.59,0.0,27.97,75.0,25.64,1.1723646723646723,1.1423646723646723,2,R2
AEVA,consumer_disc,0.06,0.86,7.6,,17.54,-0.8082010582010581,-0.8382010582010582,1,R2
AGEN,healthcare,58.42,66.67,84.27,,61.85,-0.18006329113924058,-0.21006329113924058,9,R2
AGIO,healthcare,48.82,43.37,71.26,,52.05,-0.10009126863401274,-0.12382568912897,7,R2
AGL,healthcare,22.77,0.0,21.07,,52.18,-0.30666666666666664,-0.3199810524280683,2,R2
AGNC,reits,35.09,31.11,50.38,,28.46,-0.17002518891687668,-0.18302713695174125,4,R2
AGR,utilities,55.8,57.4,60.71,43.75,76.74,-0.08521418701059424,-0.09474993545790002,9,R2
AGX,industrials,36.12,83.33,67.27,20.0,15.09,-0.0002808988764044784,-0.02978371538620129,4,R2
AGYS,tech_software,27.75,26.74,59.55,27.27,48.0,0.7404408457040035,0.7104408457040035,3,R2
AHCO,healthcare,41.06,59.81,31.65,98.0,0.83,-0.15903515944399016,-0.18535907435721904,5,R2
