ticker,sector_group,potential_score,valuation_score,quality_score,growth_score,sentiment_score,fwd_return,fwd_return_net,decile,regime_label
A,healthcare,52.91,50.0,66.16,38.38,66.4,-0.020051746442432017,-0.024051746442432017,8,R2
AA,industrials,58.86,56.83,44.15,31.58,93.55,-0.10408987186238372,-0.10808987186238372,9,R2
AAON,industrials,35.55,12.39,65.37,,46.32,-0.041851494696239167,-0.05185149469623917,4,R2
AAP,consumer_disc,49.72,33.5,53.56,,61.63,-0.3435355221665739,-0.3475355221665739,7,R2
AAPL,tech_hardware,65.43,28.67,87.8,92.31,68.25,-0.2594809230592162,-0.2634809230592162,10,R2
AAT,reits,35.92,23.96,50.38,60.87,50.76,-0.2599523647499149,-0.2699523647499149,4,R2
AAWW,industrials,71.64,98.99,75.27,51.72,74.42,0.07894177645558842,0.06894177645558842,10,R2
ABBV,healthcare,52.79,55.95,69.34,46.67,70.0,0.22535947712418314,0.22135947712418313,8,R2
ABCL,healthcare,50.16,64.2,73.99,,52.94,-0.3440559440559441,-0.3540559440559441,7,R2
ABG,consumer_disc,43.15,51.2,44.85,,45.61,0.0963353210212472,0.0863353210212472,6,R2
ABM,industrials,60.8,79.43,51.97,,66.67,0.15703146006991142,0.1470314600699114,9,R2
ABMD,healthcare,41.11,20.49,88.8,55.56,30.4,0.060834702230141646,0.05683470223014164,5,R2
ABNB,consumer_disc,27.01,0.0,18.97,,51.92,-0.4681962880653493,-0.4721962880653493,2,R2
ABR,reits,48.08,97.92,50.38,2.17,59.85,-0.1606498194945848,-0.1706498194945848,7,R2
ABSI,healthcare,58.88,19.57,47.14,,91.67,-0.6878048780487804,-0.6978048780487804,9,R2
ABT,healthcare,61.52,69.88,65.43,64.65,61.6,-0.17757805841791263,-0.18157805841791264,9,R2
ABUS,healthcare,49.81,22.63,40.38,77.97,48.72,-0.2930591259640103,-0.3030591259640103,7,R2
ACA,industrials,40.31,57.98,64.02,52.17,18.52,0.057060518731988585,0.04706051873198858,5,R2
ACAD,healthcare,39.85,23.3,87.64,,36.43,-0.25878320479862893,-0.26878320479862894,5,R2
ACC,reits,33.27,2.08,50.38,53.26,53.03,0.15236920908930762,0.1423692090893076,4,R2
ACCD,tech_software,40.2,0.0,14.47,96.91,8.38,-0.6377086494688922,-0.6477086494688922,5,R2
ACCO,industrials,38.23,90.86,31.22,,17.89,-0.24566929133858262,-0.2556692913385826,5,R2
ACET,healthcare,12.02,20.68,44.24,,12.51,-0.5608919382504287,-0.5708919382504287,1,R2
ACHC,healthcare,39.82,21.05,55.42,36.84,68.97,0.3632619439868203,0.3532619439868203,5,R2
ACHR,industrials,0.0,0.0,19.35,,3.23,-0.6109271523178808,-0.6209271523178808,1,R2
