ticker,sector_group,potential_score,valuation_score,quality_score,growth_score,sentiment_score,fwd_return,fwd_return_net,decile,regime_label
A,healthcare,52.91,50.0,66.16,38.38,66.4,-0.020051746442432017,-0.025804861217774144,8,R2
AA,industrials,58.86,56.83,44.15,31.58,93.55,-0.10408987186238372,-0.11244964648380054,9,R2
AAON,industrials,35.55,12.39,65.37,,46.32,-0.041851494696239167,-0.06033901555154916,4,R2
AAP,consumer_disc,49.72,33.5,53.56,,61.63,-0.3435355221665739,-0.3504470200124193,7,R2
AAPL,tech_hardware,65.43,28.67,87.8,92.31,68.25,-0.2594809230592162,-0.26376727789003773,10,R2
AAT,reits,35.92,23.96,50.38,60.87,50.76,-0.2599523647499149,-0.2879679066174399,4,R2
AAWW,industrials,71.64,98.99,75.27,51.72,74.42,0.07894177645558842,0.06226676698843238,10,R2
ABBV,healthcare,52.79,55.95,69.34,46.67,70.0,0.22535947712418314,0.22027584886139195,8,R2
ABCL,healthcare,50.16,64.2,73.99,,52.94,-0.3440559440559441,-0.3740559440559441,7,R2
ABG,consumer_disc,43.15,51.2,44.85,,45.61,0.0963353210212472,0.07844475950216843,6,R2
ABM,industrials,60.8,79.43,51.97,,66.67,0.15703146006991142,0.13492258725569917,9,R2
ABMD,healthcare,41.11,20.49,88.8,55.56,30.4,0.060834702230141646,0.051794163567073115,5,R2
ABNB,consumer_disc,27.01,0.0,18.97,,51.92,-0.4681962880653493,-0.4744204910231112,2,R2
ABR,reits,48.08,97.92,50.38,2.17,59.85,-0.1606498194945848,-0.1819506545242605,7,R2
ABSI,healthcare,58.88,19.57,47.14,,91.67,-0.6878048780487804,-0.7178048780487805,9,R2
ABT,healthcare,61.52,69.88,65.43,64.65,61.6,-0.17757805841791263,-0.18274939551552916,9,R2
ABUS,healthcare,49.81,22.63,40.38,77.97,48.72,-0.2930591259640103,-0.3230591259640103,7,R2
ACA,industrials,40.31,57.98,64.02,52.17,18.52,0.057060518731988585,0.03172456109849629,5,R2
ACAD,healthcare,39.85,23.3,87.64,,36.43,-0.25878320479862893,-0.28443089759330703,5,R2
ACC,reits,33.27,2.08,50.38,53.26,53.03,0.15236920908930762,0.13653866363540784,4,R2
ACCD,tech_software,40.2,0.0,14.47,96.91,8.38,-0.6377086494688922,-0.6660300438087512,5,R2
ACCO,industrials,38.23,90.86,31.22,,17.89,-0.24566929133858262,-0.27566929133858264,5,R2
ACET,healthcare,12.02,20.68,44.24,,12.51,-0.5608919382504287,-0.5908919382504287,1,R2
ACHC,healthcare,39.82,21.05,55.42,36.84,68.97,0.3632619439868203,0.3420001081116051,5,R2
ACHR,industrials,0.0,0.0,19.35,,3.23,-0.6109271523178808,-0.6406069630799146,1,R2
