ticker,sector_group,potential_score,valuation_score,quality_score,growth_score,sentiment_score,fwd_return,fwd_return_net,decile,regime_label
A,healthcare,42.33,54.04,64.9,35.39,33.61,-0.004316652033947932,-0.010923010876862949,5,R3
AAOI,tech_hardware,34.86,0.0,7.62,34.55,100.0,0.6356107660455488,0.6056107660455488,3,R3
AAON,industrials,45.56,5.75,50.49,89.58,57.69,0.6583766056299534,0.6384937512084666,6,R3
AAP,consumer_disc,24.88,76.12,33.7,21.43,1.32,-0.2250560055143891,-0.24094787976864301,2,R3
AAPL,tech_hardware,58.21,25.77,91.28,48.94,80.0,0.2362510495382033,0.2318632267142855,9,R3
AAT,reits,33.97,55.34,50.36,40.59,7.86,0.10685071574642135,0.08192944877592166,3,R3
AAWW,industrials,64.39,85.85,62.41,84.21,38.3,-0.3,-0.31547084935443315,10,R3
ABBV,healthcare,32.14,39.27,73.22,33.78,27.03,0.17201802563019286,0.16698151393744134,3,R3
ABCL,healthcare,18.43,26.94,52.0,7.46,46.62,-0.48861646234676004,-0.5186164623467601,1,R3
ABG,consumer_disc,67.38,82.82,53.43,92.31,61.02,0.05702982619904873,0.03670864559493453,10,R3
ABM,industrials,47.03,60.54,30.31,86.36,33.93,0.15252239509665255,0.13163237138154535,6,R3
ABMD,healthcare,47.45,21.88,88.93,,52.05,-0.3,-0.30837301379605,6,R3
ABNB,consumer_disc,71.85,58.97,83.05,64.29,83.33,-0.04781842221242827,-0.05449125779650865,10,R3
ABR,reits,76.4,96.12,50.36,100.0,63.57,-0.03234265734265729,-0.048822068232373596,10,R3
ABSI,healthcare,28.98,18.0,52.61,46.27,28.17,-0.3214285714285714,-0.3514285714285714,2,R3
ABT,healthcare,36.21,45.72,66.62,13.75,45.08,0.040886511272449244,0.03556144334936667,4,R3
ABUS,healthcare,40.75,23.29,33.32,64.93,45.81,0.31600000000000006,0.28600000000000003,5,R3
ACA,industrials,53.42,67.2,58.16,36.39,72.0,0.11935758608103186,0.09834078425559656,8,R3
ACAD,healthcare,54.21,20.49,91.0,62.69,56.76,-0.4487384222293196,-0.47337860761278744,8,R3
ACC,reits,29.78,4.85,50.36,,49.64,-0.3,-0.312929679465454,2,R3
ACCD,tech_software,26.35,19.62,14.89,49.08,39.38,-0.43130724396336384,-0.46130724396336387,2,R3
ACCO,industrials,22.67,60.87,25.56,16.38,26.92,-0.1274131274131275,-0.1574131274131275,2,R3
ACHC,healthcare,28.85,4.55,67.46,36.25,34.38,-0.4223251028806585,-0.4399240381750255,2,R3
