ticker,sector_group,potential_score,valuation_score,quality_score,growth_score,sentiment_score,fwd_return,fwd_return_net,decile,regime_label
A,healthcare,39.45,55.6,67.41,19.56,37.7,0.019045116223666003,0.01282682053125626,4,R5
AAOI,tech_hardware,49.71,0.0,13.25,77.19,97.83,-0.05425934318091252,-0.07814972376586601,7,R5
AAON,industrials,56.55,2.2,49.75,92.93,91.82,-0.34900699873272434,-0.36530867179784465,8,R5
AAP,consumer_disc,33.22,84.59,41.33,25.0,13.58,-0.15038459214543398,-0.16681168953092926,3,R5
AAPL,tech_hardware,53.72,23.49,91.04,60.42,56.72,0.09043936090390803,0.08616486125205321,8,R5
AAT,reits,44.83,54.72,50.36,33.66,83.92,-0.21821121408157995,-0.2438246003169865,6,R5
AAWW,industrials,70.6,82.38,67.31,90.91,41.35,-0.3,-0.31144920815153054,10,R5
ABBV,healthcare,35.49,23.56,64.23,21.78,66.67,0.3312881399242993,0.3263762794952626,3,R5
ABCL,healthcare,19.98,27.04,99.07,4.41,42.36,0.16723552091943517,0.13723552091943517,1,R5
ABG,consumer_disc,72.69,80.7,51.45,95.92,69.09,-0.04320454767190518,-0.061273270473017255,10,R5
ABM,industrials,60.44,58.06,31.62,88.64,76.92,-0.15504805609997097,-0.17454828493359043,9,R5
ABMD,healthcare,44.31,17.7,89.49,,44.67,-0.3,-0.306072531479481,5,R5
ABNB,consumer_disc,48.71,17.95,89.99,66.07,31.15,0.032798122066076685,0.02672800260188129,6,R5
ABR,reits,65.32,90.57,50.36,75.25,52.8,-0.3655513510446067,-0.3857921342674924,10,R5
ABSI,healthcare,23.79,20.0,47.0,21.32,52.42,0.33206107234226834,0.3020610723422683,2,R5
ABT,healthcare,43.67,54.09,63.85,16.97,64.75,0.12886235908187116,0.12382083297298091,5,R5
ABUS,healthcare,16.74,15.44,35.44,6.62,59.69,0.47094799473380466,0.44094799473380464,1,R5
ACA,industrials,46.67,49.95,55.95,39.82,59.65,0.10147397877120823,0.08305818773148431,6,R5
ACAD,healthcare,48.88,33.97,81.31,64.71,34.91,0.4555857811701718,0.43171752641980127,7,R5
ACC,reits,27.32,8.49,50.36,,30.42,-0.3,-0.31415799908094266,2,R5
ACCO,industrials,24.43,65.91,25.7,14.42,31.82,-0.23135566300359256,-0.2613556630035926,2,R5
ACEL,consumer_disc,45.3,73.72,47.19,62.07,40.98,0.06835204563783792,0.03835204563783792,6,R5
ACHC,healthcare,45.75,86.11,73.9,47.78,9.09,-0.6421185477835233,-0.6582707953934722,6,R5
ACHR,industrials,40.86,0.0,61.91,,72.97,-0.22871795067420375,-0.24438117766563086,5,R5
ACI,consumer_staples,55.7,88.45,51.67,48.07,30.0,-0.09949361290414349,-0.10600830974323944,8,R5
ACIA,tech_hardware,43.59,29.95,80.57,,24.19,-0.3,-0.31452220770022266,5,R5
ACIW,tech_software,43.34,72.59,34.83,26.7,84.43,-0.0789828284860139,-0.09653442963966682,5,R5
ACLS,tech_hardware,52.55,90.14,68.53,79.23,7.25,0.14984966849707493,0.13028548510102161,8,R5
ACLX,healthcare,52.49,18.05,71.08,,62.22,-0.14982400641228077,-0.17048457931281938,8,R5
ACM,industrials,45.96,47.97,37.78,47.28,56.14,-0.09896405744543502,-0.1060569765076269,6,R5
ACRE,reits,23.07,60.95,50.36,4.95,5.59,-0.3,-0.32999999999999996,2,R5
ACVA,consumer_disc,50.7,3.77,10.0,87.76,87.27,-0.6287036825109411,-0.6510982127683282,7,R5
ADAP,healthcare,57.85,24.06,31.62,87.5,62.72,-0.3,-0.32999999999999996,9,R5
ADBE,tech_software,41.05,55.61,90.42,40.27,12.81,-0.21293966395076236,-0.2180716780381803,5,R5
ADI,tech_hardware,55.85,34.47,66.66,53.17,68.84,0.30108997116041136,0.2956155018895556,8,R5
ADM,consumer_staples,42.21,88.69,30.57,21.99,17.54,0.1829337213990685,0.17577245334059594,5,R5
ADMA,healthcare,59.01,41.67,10.28,79.41,70.25,0.06355683796607381,0.04247565713839625,9,R5
ADMS,healthcare,30.38,0.0,60.71,,40.48,-0.3,-0.32508791801577025,3,R5
ADNT,consumer_disc,24.3,66.26,28.33,24.81,10.91,0.11259431667405373,0.09212047710641208,2,R5
