ticker,sector_group,potential_score,valuation_score,quality_score,growth_score,sentiment_score,fwd_return,fwd_return_net,decile,regime_label
A,healthcare,49.15,54.04,64.9,35.39,33.61,-0.004316652033947932,-0.008316652033947932,6,R3
AAOI,tech_hardware,29.84,0.0,7.62,34.55,100.0,0.6356107660455488,0.6256107660455488,2,R3
AAON,industrials,46.34,5.75,50.49,89.58,57.69,0.6583766056299534,0.6483766056299534,5,R3
AAP,consumer_disc,37.4,76.12,33.7,21.43,1.32,-0.2250560055143891,-0.2350560055143891,3,R3
AAPL,tech_hardware,60.46,25.77,91.28,48.94,80.0,0.2362510495382033,0.2322510495382033,9,R3
AAT,reits,41.12,55.34,50.36,40.59,7.86,0.10685071574642135,0.09685071574642136,4,R3
ABBV,healthcare,45.36,39.27,73.22,33.78,27.03,0.17201802563019286,0.16801802563019286,5,R3
ABCL,healthcare,34.23,26.94,52.0,7.46,46.62,-0.48861646234676004,-0.49861646234676005,2,R3
ABG,consumer_disc,71.82,82.82,53.43,92.31,61.02,0.05702982619904873,0.047029826199048726,10,R3
ABM,industrials,51.63,60.54,30.31,86.36,33.93,0.15252239509665255,0.14252239509665254,6,R3
ABNB,consumer_disc,71.98,58.97,83.05,64.29,83.33,-0.04781842221242827,-0.05181842221242827,10,R3
ABR,reits,77.07,96.12,50.36,100.0,63.57,-0.03234265734265729,-0.04234265734265729,10,R3
ABSI,healthcare,35.77,18.0,52.61,46.27,28.17,-0.3214285714285714,-0.3314285714285714,3,R3
ABT,healthcare,45.08,45.72,66.62,13.75,45.08,0.040886511272449244,0.03688651127244924,5,R3
ABUS,healthcare,39.28,23.29,33.32,64.93,45.81,0.31600000000000006,0.30600000000000005,3,R3
ACA,industrials,59.33,67.2,58.16,36.39,72.0,0.11935758608103186,0.10935758608103187,9,R3
ACAD,healthcare,56.77,20.49,91.0,62.69,56.76,-0.4487384222293196,-0.4587384222293196,8,R3
ACCD,tech_software,28.33,19.62,14.89,49.08,39.38,-0.43130724396336384,-0.44130724396336385,1,R3
ACCO,industrials,34.69,60.87,25.56,16.38,26.92,-0.1274131274131275,-0.1374131274131275,2,R3
ACHC,healthcare,35.19,4.55,67.46,36.25,34.38,-0.4223251028806585,-0.4323251028806585,3,R3
ACHR,industrials,32.44,0.0,18.18,,100.0,0.46091205211726405,0.45091205211726404,2,R3
ACIW,tech_software,45.89,62.22,30.81,15.14,73.12,0.6777777777777778,0.6677777777777778,5,R3
ACLS,tech_hardware,68.67,72.68,67.9,88.08,44.7,-0.46456935769912866,-0.47456935769912867,10,R3
ACLX,healthcare,42.18,26.72,48.77,,55.78,0.24468468468468463,0.23468468468468462,4,R3
ACM,industrials,29.67,20.1,39.14,24.2,36.0,0.1591741591741591,0.1551741591741591,2,R3
ACMR,tech_hardware,63.58,38.89,45.21,94.04,95.45,-0.20061412487205732,-0.21061412487205733,9,R3
ACVA,consumer_disc,37.14,9.48,10.0,61.54,91.53,0.36963696369636967,0.35963696369636966,3,R3
ADBE,tech_software,65.09,46.41,95.05,33.03,82.52,-0.3196111297351659,-0.3236111297351659,9,R3
ADI,tech_hardware,64.41,55.21,67.6,83.68,54.55,0.08798328108672937,0.08398328108672937,9,R3
ADM,consumer_staples,49.44,78.95,28.81,50.79,33.33,-0.26712740384615385,-0.27112740384615386,6,R3
ADMA,healthcare,48.11,70.0,7.0,82.84,38.84,3.106194690265487,3.096194690265487,5,R3
ADNT,consumer_disc,43.58,69.99,37.13,23.08,33.9,-0.5418041804180418,-0.5518041804180418,4,R3
