ticker,altman_z_base,altman_z_swap,piotroski_f_base,piotroski_f_swap,potential_score_sf,in_sample,dec_sf
ARW,3.28,3.28,6,6,43.66,True,4
CHDN,-1.78,1.06,7,7,45.25,True,4
DT,5.22,5.61,4,3,67.97,True,10
TGLS,7.18,7.18,5,5,76.46,True,10
META,8.5,8.5,7,7,72.66,True,10
ARQT,4.67,4.67,4,4,65.43,True,9
FDS,3.88,3.96,7,7,36.59,True,3
MQ,9.31,9.31,6,6,11.22,True,1
MRCY,5.5,5.54,4,4,26.76,True,2
UNP,2.14,2.14,6,6,59.24,True,8
LFST,5.37,5.37,6,6,38.58,True,3
MC,0.66,1.91,7,7,34.46,True,2
WES,2.08,2.08,8,8,55.61,True,7
USX,0.09,0.09,4,4,40.6,True,3
BURL,1.68,1.68,6,6,56.28,True,7
LNTH,8.33,8.33,5,5,76.55,True,10
TPX,1.23,1.23,4,4,59.56,True,8
WST,8.97,8.97,5,5,30.97,True,2
STE,5.55,5.67,7,7,58.35,True,8
TPR,5.09,5.09,5,5,56.01,True,7
CSL,4.66,5.14,7,8,46.53,True,5
QNST,4.28,3.97,4,4,20.7,True,1
IEX,4.99,4.99,4,4,48.0,True,5
ROIV,18.19,18.13,3,3,50.77,True,6
BKE,7.23,7.23,4,4,58.93,True,8
NNN,3.04,3.04,6,6,45.04,True,4
EHC,3.31,3.31,7,7,73.97,True,10
URGN,0.09,2.85,5,5,31.6,True,2
APLE,4.26,4.33,7,6,54.26,True,7
HIMX,4.66,4.66,5,5,33.03,True,2
CRM,4.31,4.47,7,7,47.86,True,5
NSA,1.88,1.28,4,4,43.59,True,4
RIGL,4.25,3.96,7,7,49.78,True,5
ENS,5.07,5.02,7,7,52.94,True,6
LEGH,20.35,20.35,5,5,43.61,True,4
LLY,2.65,2.65,6,6,51.06,True,6
SPG,0.66,0.9,7,7,54.79,True,7
NBIX,10.83,10.83,8,8,52.29,True,6
PCRX,4.85,4.81,5,5,50.43,True,6
CSCO,1.56,2.54,4,4,62.19,True,9
MTSI,7.35,7.35,4,4,53.88,True,7
INFA,3.55,3.55,8,8,30.46,True,2
AGS,2.56,2.56,7,7,47.99,True,5
NDAQ,2.28,2.28,5,5,50.3,True,6
GRMN,11.84,11.84,6,6,65.35,True,9
OTTR,4.19,4.11,6,6,45.92,True,5
BMRN,10.5,10.5,8,8,44.33,True,4
ROL,4.87,4.87,6,6,53.21,True,7
CAMT,8.62,8.62,6,6,51.27,True,6
PANW,1.82,1.43,6,7,67.7,True,10
SUPN,8.45,8.45,7,7,42.18,True,4
PTGX,25.16,24.99,4,4,69.5,True,10
DCI,5.58,5.58,7,7,52.92,True,6
APPN,0.2,-0.03,6,7,34.39,True,2
HALO,5.87,5.87,8,8,49.33,True,5
WRE,1.55,0.93,6,6,34.34,True,2
RICK,3.06,3.06,6,6,37.51,True,3
IGT,1.68,1.68,7,7,48.0,True,5
CRUS,17.35,17.87,7,7,58.53,True,8
WDFC,6.56,6.56,7,7,62.64,True,9
SMAR,2.88,3.64,7,6,68.71,True,10
AVAV,10.53,10.53,7,7,40.02,True,3
NANO,19.53,19.53,6,6,45.26,True,4
AON,1.25,1.25,4,4,56.09,True,7
CENT,5.27,5.27,5,5,34.97,True,3
PINS,19.45,19.45,4,4,55.35,True,7
USLM,39.42,39.42,6,6,59.04,True,8
LFUS,6.33,6.33,4,4,37.24,True,3
MNKD,2.91,2.94,7,7,53.49,True,7
SAIC,1.86,2.19,6,6,24.73,True,1
TNC,5.25,5.25,5,5,38.35,True,3
NCLH,-0.76,-0.76,7,7,62.12,True,9
WSR,-1.68,2.3,6,6,40.12,True,3
AMR,11.76,11.76,5,5,38.21,True,3
POWL,6.71,6.71,6,6,71.2,True,10
CAPR,12.71,13.85,3,3,68.03,True,10
ROK,2.47,2.47,3,3,49.15,True,5
LOW,0.52,0.52,4,4,43.23,True,4
GILD,3.58,3.58,7,7,38.11,True,3
PSN,3.51,3.51,5,5,55.52,True,7
BMBL,2.96,4.66,4,5,29.34,True,2
LASR,11.6,11.6,3,3,27.14,True,2
