ticker,roe_5y_med_sf,roe_5y_med_fmp,roic_5y_med_sf,roic_5y_med_fmp,gross_margin_5y_med_sf,gross_margin_5y_med_fmp,operating_margin_5y_med_sf,operating_margin_5y_med_fmp,fcf_margin_5y_med_sf,fcf_margin_5y_med_fmp,revenue_growth_3yr_sf,revenue_growth_3yr_fmp,revenue_trend_5y_sf,revenue_trend_5y_fmp,ebitda_trend_5y_sf,ebitda_trend_5y_fmp,fcf_trend_5y_sf,fcf_trend_5y_fmp,revenue_cv_5y_sf,revenue_cv_5y_fmp,op_inc_cv_5y_sf,op_inc_cv_5y_fmp,piotroski_f_sf,piotroski_f_fmp,altman_z_sf,altman_z_fmp,n_yrs_history_sf,n_yrs_history_fmp
A,0.21854866056290267,,0.17739628040057226,,0.539167589808514,,0.21316664029118532,,0.2054122487735401,,-0.024991013700650044,,0.044836572576850246,,0.06986335097871246,,0.11023622047242991,,0.09703043719378278,,0.2201595485550832,,5.0,,4.78,,5,
A21,-0.013893355425633726,,-0.019821200502607016,,0.18857328134456627,,-0.05422234398171574,,0.10156388856690007,,,,,,,,,,0.5463413412830813,,0.8749704233678517,,4.0,,8.8,,2,
AA,-0.01866747609652451,,-0.01748898052040381,,0.15561160151324085,,0.07372845733501471,,0.004415248761576567,,-0.02258250874425538,,0.032102600514785855,,-0.08938618925825512,,-0.9176245210724231,,0.11754967093876834,,0.9327579838810417,,7.0,,3.23,,5,
AAC,0.019525736193553352,,0.01953302862324245,,,,,,,,,,,,,,,,,,0.09026574223335497,,2.0,,106.3,,2,
AACG,-0.263624967038147,,-0.42521320413046304,,0.5069373189304945,,-0.30096106270967987,,-0.12896418599168127,,,,,,,,,,0.013794720155352975,,0.1422295581416753,,3.0,,-2.49,,2,
AACI,-0.0031071335093586644,,-0.0031207320495612173,,,,,,,,,,,,,,,,,,,,,,761.34,,1,
AACT,-0.11328409052595831,,-0.11259088827535868,,,,-3.655371527343555,,-3.2032615069684285,,,,,,,,,,0.08930053957329402,,0.0963057311355761,,3.0,,-32.38,,2,
AAGH,,,,,0.4192568899060605,,-2.533736339573413,,-2.1253646455351722,,0.6780407193847104,,0.19850293445360445,,,,,,0.38862392150064956,,1.3595697858752767,,2.0,,-139.02,,4,
AAIC,-0.05546408955636759,,-0.04102071660033923,,,,0.6984187965059852,,,,0.03672721616077679,,0.04257828284916492,,,,,,0.31635278171467807,,0.420413324098036,,5.0,,4.09,,3,
AAL,,,0.006076845782094837,,0.22490861938698414,,0.032815339690837435,,0.022865045086004395,,0.052141674531342774,,0.23784259974701913,,5.172424335065507,,,,0.4005673156139892,,3.585069346577719,,6.0,,-1.18,,5,
AAM,0.016984624302222896,,0.017005238481209325,,,,,,,,,,,,,,,,,,,,,,540.16,,1,
AAMC,,,,,,,-21.006505401012266,,-48.327116033732764,,,,,,,,,,1.5091046326749222,,0.25029535409365034,,3.0,,-36.18,,4,
AAN,-0.0017391989252286714,0.004114332685261565,-0.0011816766965725362,0.003438213249604782,0.5738110954835054,0.6231607356104898,0.08528289239639371,0.10598623574302163,0.04280003658081653,0.04018851436288781,0.07680789033849589,0.07680789033849589,0.08124940478036968,0.06281078843380011,-0.04362308666775798,-0.06418209491356378,-0.40681333964616534,-0.22612750699658948,0.12146023718673456,0.11753281918120369,0.2852801306121363,0.5430017937573948,7.0,7.0,-0.41,4.07,4,5.0
AAOI,-0.26084730696377795,,-0.19686618592839505,,0.21541366362206604,,-0.2647811218124209,,-0.09438234112447712,,0.05789511771408451,,0.015653374905472785,,,,,,0.06606861502256624,,0.20104984811118676,,1.0,,3.02,,5,
AAON,0.17901461351063108,,0.16027668709991105,,0.26729883841816043,,0.14260881110005985,,0.010925751659909787,,0.3142708571312116,,0.2896786448529242,,0.1602797433202551,,-2.1764334137655057,,0.3259359164614085,,0.2965476749763998,,5.0,,7.65,,3,
AAP,0.17867167950655435,0.13850803143801735,0.13120970729505543,0.12545742867408494,0.4477136683806467,0.44344663107376064,0.07420177926270104,0.05734235710318013,0.06953974646164514,0.03671643089630484,-0.048547133086699,-0.003003458667861225,-0.047471714051669764,-0.039270291503956015,-0.11927738946519341,-0.4860223213862662,-0.2950229894330054,-0.6458391346255736,0.09170133732890451,0.08555631658184784,0.2221478256160668,1.4788775056610153,5.0,5.0,1.73,1.65,3,5.0
AAPL,1.5607601454639075,1.5607601454639075,0.8151375809600039,0.8151375809600039,0.43309630561360085,0.43309630561360085,0.2982141226502472,0.2982141226502472,0.2672531555652697,0.2672531555652697,-0.004184211808589633,-0.004184211808589633,0.06924012426892773,0.06924012426892773,0.10212470629410024,0.10212470629410024,0.0797230084418062,0.0797230084418062,0.13826276801948525,0.13826276801948525,0.21683354422572043,0.21683354422572043,6.0,6.0,2.77,2.57,5,5.0
AAT,0.03669766559119377,,0.015626919421474244,,0.7453081524105165,,0.27146467036399086,,0.18427735196895867,,0.040817465995068414,,0.07147166499841634,,0.06130893169907437,,1.1241792067580425,,0.11521675568682022,,0.1487455077197623,,6.0,,2.52,,5,
AAWH,-0.6950310805374071,,-0.1926648328748854,,0.3314963811137991,,-0.006978537958695694,,-0.040352878969192665,,0.17622316490864653,,0.2604037349380165,,0.417402266382632,,,,0.42289110528879936,,3.1708826929125027,,6.0,,1.09,,5,
