ticker,sf,fmp_orig,v1_addcomp,v2_subDR,v3_subDR_AE_OCL,v1_pct,v2_pct,v3_pct,orig_pct
CNXC,1995813000.0,1995813000.0,547792000.0,1995813000.0,547792000.0,-72.55293957900865,0.0,-72.55293957900865,0.0
AMPH,173759000.0,173759000.0,47216000.0,173759000.0,47216000.0,-72.8267312772288,0.0,-72.8267312772288,0.0
AYI,687900000.0,687900000.0,378600000.0,670500000.0,378600000.0,-44.96293065852595,-2.529437418229394,-44.96293065852595,0.0
ATMU,344900000.0,344900000.0,249800000.0,344900000.0,249800000.0,-27.573209625978546,0.0,-27.573209625978546,0.0
LNN,125816000.0,125816000.0,47812000.0,102580000.0,47812000.0,-61.99847396197622,-18.468239333630063,-61.99847396197622,0.0
EGP,147342000.0,168560000.0,18853000.0,143747000.0,135396000.0,-87.20459882450353,-2.4399017252378816,-8.1076678747404,14.400510377217628
ESAB,632051000.0,632051000.0,401347000.0,605661000.0,401347000.0,-36.50085198820982,-4.175295980862304,-36.50085198820982,0.0
EXP,245004000.0,245004000.0,160085000.0,245004000.0,168548000.0,-34.66025044489069,0.0,-31.206021126185696,0.0
AZZ,220992000.0,194306000.0,98837000.0,194306000.0,98837000.0,-55.27575658847379,-12.075550246162758,-55.27575658847379,-12.075550246162758
SONO,366153000.0,366153000.0,221225000.0,344351000.0,227619000.0,-39.581267939904905,-5.9543414911252945,-37.83500340021794,0.0
PVH,2741800000.0,2741800000.0,1950900000.0,2686500000.0,1950900000.0,-28.84601356772923,-2.0169231891458166,-28.84601356772923,0.0
LULU,1839630000.0,1839630000.0,746653000.0,1531278000.0,746653000.0,-59.412871066464454,-16.7616314150128,-59.412871066464454,0.0
ARMK,4214210000.0,4214210000.0,2479661000.0,3843410000.0,2479661000.0,-41.159529306797715,-8.798802147970793,-41.159529306797715,0.0
CENT,515384000.0,515384000.0,270158000.0,515384000.0,270158000.0,-47.58122099250268,0.0,-47.58122099250268,0.0
GRPN,305426000.0,305426000.0,25674000.0,278947000.0,25674000.0,-91.59403587120939,-8.66953042635532,-91.59403587120939,0.0
WDFC,103500000.0,103500000.0,54259000.0,99212000.0,48467000.0,-47.57584541062802,-4.142995169082125,-53.1719806763285,0.0
CHDN,3805500000.0,729300000.0,252100000.0,676400000.0,318500000.0,-93.37537774274077,-82.22572592300618,-91.63053475233215,-80.8356326369728
EPAM,821039000.0,821039000.0,134731000.0,761718000.0,178470000.0,-83.59018268316122,-7.225113545154372,-78.26290833931154,0.0
CSGP,552000000.0,552300000.0,102200000.0,415200000.0,102200000.0,-81.48550724637681,-24.782608695652176,-81.48550724637681,0.05434782608695652
LIVN,392125000.0,392125000.0,189226000.0,381277000.0,189226000.0,-51.74344915524386,-2.76646477526299,-51.74344915524386,0.0
LAND,548898000.0,24976000.0,22004000.0,24976000.0,24976000.0,-95.9912406312284,-95.44979212895657,-95.44979212895657,-95.44979212895657
Z,413000000.0,831000000.0,607000000.0,769000000.0,607000000.0,46.973365617433416,86.19854721549636,46.973365617433416,101.21065375302662
RL,2133700000.0,1467200000.0,676700000.0,1449900000.0,676700000.0,-68.28513849182171,-32.047616815859776,-68.28513849182171,-31.236818671790783
KROS,27450000.0,27450000.0,6580000.0,27450000.0,6580000.0,-76.02914389799635,0.0,-76.02914389799635,0.0
PG,33628000000.0,33627000000.0,23840000000.0,33627000000.0,23840000000.0,-29.106696800285476,-0.0029737123825383607,-29.106696800285476,-0.0029737123825383607
WWD,923510000.0,923510000.0,630868000.0,866719000.0,646752000.0,-31.688016372318657,-6.149473205487759,-29.968056653420106,0.0
XPEL,41518000.0,41518000.0,31045000.0,40697000.0,31045000.0,-25.225203526181417,-1.9774555614432296,-25.225203526181417,0.0
GEL,858755000.0,858755000.0,531728000.0,817137000.0,531728000.0,-38.08152499839885,-4.8463182164878225,-38.08152499839885,0.0
BNTC,4449000.0,4924000.0,1635000.0,4924000.0,1773000.0,-63.25016857720836,10.676556529557203,-60.14834794335806,10.676556529557203
COR,58865751000.0,54277053000.0,52015056000.0,54277053000.0,51723260000.0,-11.637828250929815,-7.79519146880501,-12.133525655690692,-7.79519146880501
ICFI,449180000.0,449180000.0,189000000.0,424600000.0,191626000.0,-57.92332695133354,-5.472193775323923,-57.33870608664677,0.0
OLO,59594000.0,59594000.0,5661000.0,57725000.0,5661000.0,-90.50072154914925,-3.1362217672920094,-90.50072154914925,0.0
GTY,106305000.0,303202000.0,276661000.0,303202000.0,303202000.0,160.25210479281313,185.21894548704202,185.21894548704202,185.21894548704202
CPRT,688127000.0,628567000.0,283851000.0,444535000.0,283851000.0,-58.750201634291344,-35.3992794934656,-58.750201634291344,-8.655379021605023
NVTS,21144000.0,21144000.0,12521000.0,21144000.0,12521000.0,-40.78225501324253,0.0,-40.78225501324253,0.0
SKYW,1429591000.0,1429591000.0,1105988000.0,1429591000.0,1105988000.0,-22.636054647797867,0.0,-22.636054647797867,0.0
NSA,119140000.0,561969000.0,443300000.0,541957000.0,443300000.0,272.0832633876112,354.89088467349336,272.0832633876112,371.687930166191
XHR,117433000.0,115462000.0,107327000.0,115462000.0,119893000.0,-8.605758177003057,-1.6784038558156567,2.0948115095416107,-1.6784038558156567
BKD,579763000.0,579763000.0,284090000.0,518789000.0,284090000.0,-50.998942671401934,-10.517056107409408,-50.998942671401934,0.0
HZO,1069143000.0,1069143000.0,815300000.0,1004298000.0,815300000.0,-23.74266117815858,-6.065138152707355,-23.74266117815858,0.0
ATUS,2069323000.0,2254796000.0,1156972000.0,2180629000.0,1183916000.0,-44.08934709564433,5.378860622532104,-42.78727873802205,8.962979679827654
SIRI,2731000000.0,2731000000.0,1393000000.0,1681000000.0,1393000000.0,-48.99304284145002,-38.44745514463567,-48.99304284145002,0.0
HBI,1248540000.0,1248540000.0,752610000.0,1248540000.0,752610000.0,-39.72079388726032,0.0,-39.72079388726032,0.0
MELI,13366000000.0,16603000000.0,6790000000.0,16497000000.0,16394000000.0,-49.19946131976658,23.425108484213677,22.654496483615144,24.218165494538383
ABNB,10161000000.0,10161000000.0,1260000000.0,8545000000.0,7191000000.0,-87.59964570416298,-15.903946461962407,-29.229406554472988,0.0
MGEE,125563000.0,125563000.0,82751000.0,125563000.0,82751000.0,-34.09603147424002,0.0,-34.09603147424002,0.0
VRNT,518683000.0,418171000.0,47335000.0,163734000.0,34187000.0,-90.87400203978152,-68.43274215657733,-93.4088836534068,-19.378310066071183
CL,5759000000.0,5759000000.0,3137000000.0,5759000000.0,3545000000.0,-45.528737628060426,0.0,-38.44417433582219,0.0
GRMN,1507858000.0,1507858000.0,681848000.0,1396861000.0,681848000.0,-54.78035730154962,-7.361236933451293,-54.78035730154962,0.0
MSCI,1585654000.0,1585654000.0,77357000.0,462231000.0,77357000.0,-95.12144515764473,-70.84918904124102,-95.12144515764473,0.0
EXEL,403769000.0,403769000.0,38191000.0,403769000.0,38191000.0,-90.54137390438592,0.0,-90.54137390438592,0.0
BLBD,235973000.0,235973000.0,149131000.0,226552000.0,149131000.0,-36.80166798743924,-3.9924059108457324,-36.80166798743924,0.0
FHI,289193000.0,289193000.0,113907000.0,289193000.0,113907000.0,-60.61211716742798,0.0,-60.61211716742798,0.0
VECO,192282000.0,192282000.0,75858000.0,127296000.0,77397000.0,-60.54856928885699,-33.797235310637504,-59.74818235716292,0.0
CUK,11617000000.0,11617000000.0,2834000000.0,5192000000.0,476000000.0,-75.60471722475683,-55.30687785142464,-95.902556598089,0.0
PSN,1915644000.0,1915644000.0,731420000.0,1625845000.0,731420000.0,-61.818584246342226,-15.128019611159486,-61.818584246342226,0.0
NET,746028000.0,793654000.0,153433000.0,315889000.0,153433000.0,-79.43334566531016,-57.65721930007989,-79.43334566531016,6.38394269383991
CME,102313900000.0,102313900000.0,829700000.0,102313900000.0,829700000.0,-99.18906424249295,0.0,-99.18906424249295,0.0
MNDY,575615000.0,575615000.0,79745000.0,232233000.0,79745000.0,-86.1461219738888,-59.65480399225177,-86.1461219738888,0.0
MAT,1315723000.0,1315723000.0,511768000.0,1315723000.0,511768000.0,-61.103666957254674,0.0,-61.103666957254674,0.0
QURE,474983000.0,40053000.0,10828000.0,40053000.0,10828000.0,-97.72033946478085,-91.56748767850638,-97.72033946478085,-91.56748767850638
SBTX,23440000.0,23440000.0,9912000.0,22883000.0,9912000.0,-57.71331058020478,-2.376279863481229,-57.71331058020478,0.0
LASR,34235000.0,34235000.0,17390000.0,30658000.0,17390000.0,-49.20403096246531,-10.44837154958376,-49.20403096246531,0.0
XPRO,467177000.0,484430000.0,215650000.0,480630000.0,215650000.0,-53.83976522816833,2.879636625946911,-53.83976522816833,3.693032833380068
KRG,3433590000.0,206660000.0,202651000.0,206660000.0,202651000.0,-94.09798490792436,-93.98122664616334,-94.09798490792436,-93.98122664616334
CMI,12299000000.0,11234000000.0,6849000000.0,9887000000.0,6849000000.0,-44.312545735425644,-19.61135051630214,-44.312545735425644,-8.659240588665746
CASY,953466000.0,953466000.0,680786000.0,953466000.0,676717000.0,-28.598817367373353,0.0,-29.02557616107968,0.0
HTZ,19104000000.0,3164000000.0,1990000000.0,3164000000.0,1990000000.0,-89.58333333333334,-83.43802345058626,-89.58333333333334,-83.43802345058626
STRA,194238000.0,216460000.0,80881000.0,126897000.0,80881000.0,-58.35984719776769,-34.66932320143329,-58.35984719776769,11.440603795343856
INTA,300647000.0,349858000.0,16497000.0,92864000.0,16497000.0,-94.51283398803247,-69.11194856426307,-94.51283398803247,16.36836555827931
PBI,1672727000.0,1672727000.0,322850000.0,700844000.0,322850000.0,-80.69918163573614,-58.101710560061505,-80.69918163573614,0.0
BLCO,1738000000.0,1738000000.0,461000000.0,1738000000.0,461000000.0,-73.47525891829689,0.0,-73.47525891829689,0.0
KFY,934519000.0,934519000.0,111677000.0,934519000.0,111677000.0,-88.0497881798016,0.0,-88.0497881798016,0.0
AGX,479857000.0,302260000.0,42211000.0,121206000.0,42211000.0,-91.20342101917863,-74.74122498994493,-91.20342101917863,-37.01040101530248
ELS,3423074000.0,694230000.0,236225000.0,342481000.0,331802000.0,-93.0990390508648,-89.99492853499515,-90.30689958791426,-79.71910627698962
