ticker,valuation_score_sf,quality_score_sf,growth_score_sf,sentiment_score_sf,potential_score_sf,valuation_score_fmp,quality_score_fmp,growth_score_fmp,sentiment_score_fmp,potential_score_fmp,in_sample
A,48.57,67.32,8.74,45.83,35.85,48.57,67.55,8.74,45.83,35.89,False
AA,74.54,41.67,32.45,16.13,39.81,74.54,41.67,32.45,16.13,39.81,False
AACT,,,,,,,,,,,False
AAL,,,,,,,,,,,False
AAN,,,,,,,,,,,True
AAOI,0.0,12.75,77.19,63.77,36.68,0.0,12.75,78.95,63.77,37.28,False
AAON,5.15,49.7,92.08,23.89,42.63,5.15,50.3,92.08,23.89,42.78,False
AAP,76.68,38.69,25.37,38.16,37.94,76.68,19.06,40.3,38.16,39.17,True
AAPL,34.05,88.56,51.61,21.74,47.29,34.05,88.08,51.61,21.74,47.17,True
AAT,58.72,62.51,41.24,23.81,43.33,58.72,60.18,41.84,23.81,42.92,False
AAWW,84.86,68.59,90.7,63.46,78.32,84.86,60.58,90.7,63.46,76.32,True
ABBV,23.52,66.55,17.53,85.37,37.45,23.52,66.55,17.53,85.37,37.45,False
ABCL,25.88,99.17,4.23,39.68,20.01,25.88,99.17,4.23,39.68,20.01,True
ABG,79.14,60.34,96.15,65.52,73.42,79.14,47.41,46.15,65.52,53.6,True
ABM,54.25,31.24,86.05,26.42,48.41,54.25,30.59,86.05,26.42,48.25,False
ABMD,16.29,90.18,,53.33,48.56,16.29,90.42,,53.33,48.62,False
ABNB,25.0,89.64,64.15,25.42,50.51,25.0,93.1,81.59,25.42,57.21,True
ABR,68.7,46.9,65.96,7.48,49.13,68.7,44.99,66.49,7.48,48.8,False
ABSI,16.97,44.84,21.83,57.7,23.39,16.97,44.73,21.13,57.7,22.99,False
ABT,53.72,63.98,18.13,85.0,47.51,53.72,64.9,19.7,85.0,48.2,True
ABUS,15.38,34.27,7.04,55.58,13.23,15.38,34.19,7.75,55.58,13.6,False
ACA,38.59,46.79,42.55,55.36,40.52,38.59,49.5,43.51,55.36,41.48,False
ACAD,57.99,67.77,64.79,47.07,54.48,57.99,67.77,65.49,47.07,54.85,True
ACC,14.16,45.95,,34.69,29.87,14.16,43.04,,34.69,28.8,False
ACCD,2.24,14.14,61.54,95.44,41.6,2.24,14.13,62.44,95.44,42.05,False
ACCO,66.29,25.43,14.3,18.58,21.1,66.29,24.23,15.4,18.58,21.13,False
ACEL,62.32,45.95,59.38,52.54,45.57,62.32,46.76,59.73,52.54,45.85,False
ACHC,74.4,79.31,49.75,3.23,44.09,74.4,79.31,47.92,3.23,43.46,False
ACHR,0.0,,,92.11,37.4,0.0,,,92.11,37.4,False
ACI,86.38,50.0,50.0,48.39,59.56,86.38,48.92,51.72,48.39,59.56,False
ACIA,33.0,79.5,,24.19,47.06,33.0,79.5,,24.19,47.06,False
ACIW,79.8,34.28,26.7,44.89,33.82,79.8,36.03,26.24,44.89,33.94,False
ACLS,78.5,69.02,78.27,32.61,59.52,78.5,69.03,80.77,32.61,60.39,True
ACLX,13.14,73.87,,63.15,52.53,13.14,73.69,,63.15,52.47,False
ACM,35.83,46.93,66.67,69.64,53.01,35.83,49.63,68.0,69.64,54.08,False
ACN,,,,,,,,,,,True
ACVA,4.55,12.07,88.46,43.1,38.31,4.55,12.93,90.38,43.1,39.15,False
ADBE,74.52,97.96,40.27,18.61,47.94,74.52,97.96,40.27,18.61,47.94,True
ADC,37.34,70.04,,93.2,58.88,37.34,69.1,,93.2,58.54,False
ADCT,14.09,69.42,13.38,52.88,21.15,14.09,69.42,13.38,52.88,21.15,False
ADI,34.51,67.15,28.07,74.64,48.15,34.51,66.66,28.07,74.64,48.05,False
ADM,57.86,27.91,30.21,29.63,36.4,57.86,27.91,30.17,29.63,36.39,False
ADMA,35.92,14.05,78.17,66.22,57.44,35.92,14.05,77.46,66.22,57.06,True
ADMS,0.0,58.75,,51.22,34.06,0.0,57.5,,51.22,33.75,False
ADNT,65.21,22.41,30.77,12.07,25.75,65.21,23.28,34.62,12.07,27.25,False
ADP,37.39,75.87,58.77,90.57,63.37,37.39,76.55,54.88,90.57,62.37,True
ADPT,17.19,18.6,27.46,54.77,21.83,17.19,18.6,27.46,54.77,21.83,True
ADSK,33.97,90.96,40.72,50.73,50.62,33.97,98.34,49.32,50.73,56.37,True
ADT,94.44,76.84,57.85,56.52,69.53,94.44,76.84,60.93,56.52,70.45,False
ADTN,25.93,17.31,38.46,83.87,28.99,25.93,16.2,34.62,83.87,27.57,False
ADUS,25.6,64.43,75.37,54.84,51.95,25.6,66.09,71.88,54.84,51.02,True
AEE,49.13,88.89,29.27,89.8,60.85,49.13,88.89,29.27,89.8,60.85,True
AEHR,0.0,57.75,91.55,41.3,43.55,0.0,57.75,92.47,41.3,43.86,True
AEIS,23.09,68.96,,59.42,45.37,23.09,69.92,,59.42,45.71,False
AEO,90.92,38.06,63.65,9.21,46.83,90.92,39.42,62.95,9.21,46.86,False
AEP,28.07,57.78,58.54,61.22,48.47,28.07,57.78,60.98,61.22,49.08,False
AERI,0.0,35.95,,51.22,28.51,0.0,35.95,,51.22,28.51,False
AEVA,12.27,2.59,15.38,100.0,25.78,12.27,2.59,98.08,100.0,54.3,True
AFRM,24.51,6.99,87.1,97.3,53.5,24.51,6.99,87.1,97.3,53.5,True
AGCO,,,,,,,,,,,True
AGIO,50.36,56.2,74.65,45.56,55.76,50.36,56.2,74.65,45.56,55.76,False
AGL,0.0,15.17,95.83,6.45,27.09,0.0,15.17,95.83,6.45,27.09,True
AGM,,,,,,,,,,,False
AGNC,49.7,45.33,89.95,64.97,61.86,49.7,45.9,75.86,64.97,57.68,True
AGR,92.73,48.89,75.61,22.45,62.3,92.73,48.89,75.61,22.45,62.3,False
AGS,92.59,52.82,50.87,44.07,47.99,92.59,43.39,54.47,44.07,47.36,True
AGX,46.51,58.93,92.5,100.0,70.31,46.51,58.93,46.64,100.0,56.58,True
AGYS,13.63,52.8,70.14,40.69,48.79,13.63,54.34,69.68,40.69,48.86,True
AHCO,94.82,32.78,56.57,39.17,47.67,94.82,31.79,42.96,39.17,42.82,True
AHH,70.96,39.31,,4.08,39.01,70.96,36.62,,4.08,38.02,False
AHR,16.78,19.45,,100.0,31.54,16.78,17.98,,100.0,31.0,False
AI,0.0,19.95,41.18,15.69,23.97,0.0,19.95,41.18,15.69,23.97,False
AIMC,33.34,42.53,54.46,34.96,42.28,33.34,42.54,53.47,34.96,41.98,False
AIN,,,,,,,,,,,False
AIP,0.0,52.9,78.95,50.72,40.62,0.0,53.62,80.7,50.72,41.37,False
AIR,63.62,42.72,,13.16,36.7,63.62,43.62,,13.16,37.02,False
AIRC,49.9,60.53,28.27,34.69,42.07,49.9,58.88,29.2,34.69,41.94,False
AIT,,,,,,,,,,,False
AIV,11.88,29.67,,59.86,18.5,11.88,28.79,,59.86,18.17,False
AJG,37.29,49.81,74.26,51.35,55.54,37.29,49.73,71.84,51.35,54.66,False
AJRD,30.86,80.61,18.75,22.37,37.95,30.86,80.61,21.88,22.37,38.89,False
AKAM,76.16,61.26,23.98,19.53,34.83,76.16,61.47,22.62,19.53,34.18,False
AKR,24.4,40.56,58.95,64.97,41.13,24.4,37.46,59.45,64.97,40.49,False
AKRO,9.39,56.42,,58.02,42.38,9.39,56.5,,58.02,42.41,False
AL,,,,,,,,,,,True
ALB,2.5,43.33,42.36,24.44,23.66,2.5,43.33,40.2,24.44,23.15,True
ALC,48.34,63.7,,60.0,55.27,48.34,64.8,,60.0,55.54,False
ALCC,,,,,,,,,,,False
ALE,74.73,28.89,34.15,32.65,42.97,74.73,26.67,34.15,32.65,42.3,True
ALEX,33.52,42.09,,70.07,38.55,33.52,39.72,,70.07,37.68,False
ALG,,,,,,,,,,,True
ALGM,3.98,52.84,35.36,81.16,39.6,3.98,52.36,34.65,81.16,39.26,False
ALGN,58.65,76.12,33.29,19.17,40.43,58.65,76.9,32.58,19.17,40.3,True
ALGT,,,,,,,,,,,True
ALHC,,,,,,,,,,,True
ALIM,9.26,51.19,73.08,63.41,41.64,9.26,50.31,76.92,63.41,42.82,True
ALIT,45.62,23.34,,18.07,22.53,45.62,25.58,,18.07,23.41,False
ALKS,73.93,44.63,47.89,54.02,47.67,73.93,44.63,47.89,54.02,47.67,True
ALKT,0.98,21.95,86.43,22.63,47.22,0.98,21.38,85.97,22.63,46.88,True
ALLE,,,,,,,,,,,False
ALLT,2.59,26.85,3.17,95.44,14.72,2.59,26.85,3.17,95.44,14.72,True
ALNY,10.43,50.41,69.01,42.06,53.69,10.43,50.41,69.01,42.06,53.69,False
ALPN,7.79,54.0,73.94,26.13,48.79,7.79,54.02,73.94,26.13,48.8,True
ALRM,26.06,43.36,66.52,27.37,45.1,26.06,47.03,24.89,27.37,24.86,True
ALSN,51.74,91.38,57.88,82.76,67.4,51.74,93.1,61.14,82.76,68.87,True
ALT,16.57,22.16,14.9,63.08,17.52,16.57,22.09,14.06,63.08,17.06,False
ALTM,86.75,55.26,81.18,90.79,75.17,86.75,5.26,87.06,90.79,65.74,True
ALTR,3.64,53.24,,63.87,43.06,3.64,55.37,,63.87,43.9,False
ALV,51.59,67.24,59.34,60.34,57.39,51.59,69.83,61.6,60.34,58.68,False
ALX,38.31,74.51,24.39,69.39,43.04,38.31,72.56,24.13,69.39,42.46,False
ALXN,53.49,64.46,,48.98,54.72,53.49,64.46,,48.98,54.72,False
AMAM,9.74,45.55,18.31,48.98,20.44,9.74,45.32,17.61,48.98,20.03,False
AMAT,62.71,73.9,66.67,47.1,61.55,62.71,73.9,68.42,47.1,62.15,True
AMBA,11.11,31.74,36.84,47.1,27.86,11.11,32.22,38.6,47.1,28.56,False
AMC,20.45,42.6,59.26,3.23,26.24,20.45,43.67,62.96,3.23,27.81,False
AMCR,,,,,,,,,,,False
AMD,15.39,40.83,55.96,48.55,42.42,15.39,41.31,57.68,48.55,43.11,False
AME,42.94,83.43,54.24,54.87,57.86,42.94,84.03,54.09,54.87,57.97,True
AMED,31.34,59.2,19.24,38.71,32.28,31.34,52.53,16.67,38.71,30.33,True
AMG,67.39,57.61,29.69,71.74,49.62,67.39,58.79,29.87,71.74,49.97,False
AMGN,49.1,19.83,42.96,29.29,36.11,49.1,19.83,42.96,29.29,36.11,False
AMH,54.68,54.41,61.98,46.26,54.24,54.68,55.38,60.19,46.26,53.94,True
AMK,39.38,41.25,68.75,30.43,45.09,39.38,43.53,69.7,30.43,45.98,False
AMKR,82.71,26.8,49.72,14.49,37.59,82.71,26.8,49.93,14.49,37.66,True
AMLX,8.73,75.21,82.39,50.82,58.26,8.73,75.21,81.69,50.82,57.88,True
AMN,,,,,,,,,,,False
AMOT,63.91,42.56,66.4,34.78,43.57,63.91,43.04,65.2,34.78,43.33,False
AMP,33.79,50.0,53.12,73.91,51.35,33.79,47.83,54.55,73.91,51.32,False
AMPH,97.5,65.74,88.46,21.95,62.25,97.5,65.74,87.44,21.95,61.89,True
AMPL,6.3,47.13,50.23,80.29,41.96,6.3,49.28,51.13,80.29,42.84,False
AMPS,,,,,,,,,,,False
AMPX,0.0,2.99,99.01,98.23,39.84,0.0,2.99,100.0,98.23,40.13,False
AMR,51.81,87.5,40.06,3.23,38.21,51.81,87.5,43.63,3.23,39.06,True
AMRC,64.53,37.78,26.59,5.36,24.79,64.53,40.45,27.23,5.36,25.65,False
AMRK,81.37,49.23,13.68,5.41,24.82,81.37,47.88,11.76,5.41,23.81,False
AMRN,36.06,23.14,19.01,23.03,11.87,36.06,23.14,18.31,23.03,11.49,False
AMRX,41.39,42.58,69.91,82.93,53.15,41.39,43.42,64.03,82.93,51.25,True
AMRZ,,,,,,,,,,,False
AMSC,8.22,21.5,95.16,68.12,39.42,8.22,21.02,95.16,68.12,39.3,False
AMSWA,28.19,28.1,10.41,58.76,14.87,28.19,28.08,9.95,58.76,14.63,False
AMT,22.35,62.3,,42.86,41.54,22.35,63.69,,42.86,42.04,False
AMWD,83.87,27.03,53.64,24.32,38.16,83.87,27.03,51.61,24.32,37.46,False
